ID	DOI	metalanguage	objectlanguage	license	creators	title	year	edited	superseded	pages	series	seriesnumber
149	10.5281/zenodo.1145680	eng		CC-BY-NC-ND	Höhle, Tilmann N., Müller, Stefan, Richter, Frank & Reis, Marga	Beiträge zur deutschen Grammatik: Gesammelte Schriften von Tilman N. Höhle	2019		True		Classics in Linguistics	5
150	10.5281/zenodo.4446717	eng	russ1263	CC-BY	Zinova, Yulia	Russian verbal prefixation: A frame semantic analysis	2021		False		Empirically Oriented Theoretical Morphology and Syntax	7
151	10.5281/zenodo.495467	eng		CC-BY	Bowern, Claire, Horn, Laurence & Zanuttini, Raffaella 	On looking into words (and beyond): Structures, Relations, Analyses	2017	(eds.)	False		Empirically Oriented Theoretical Morphology and Syntax	3
152	10.5281/zenodo.823224	eng		CC-BY	Bisang, Walter & Malchukov, Andrej 	Unity and diversity in grammaticalization scenarios	2017	(eds.)	False		Studies in Diversity Linguistics	16
153	10.5281/zenodo.1134595	eng		CC-BY	Schäfer, Martin	The semantic transparency of English compound nouns	2017		False		Morphological Investigations	3
154	10.5281/zenodo.1188764	eng		CC-BY	Mücke, Doris	Dynamische Modellierung von Artikulation und prosodischer Struktur: Eine Einführung in die Artikulatorische Phonologie	2017		False		Studies in Laboratory Phonology	4
155	10.5281/zenodo.1346245	deu		CC-BY	Bergmann, Pia	Morphologisch komplexe Wörter: Prosodische Struktur und phonetische Realisierung	2018		False		Studies in Laboratory Phonology	5
156	10.5281/zenodo.885113	eng		CC-BY	Trips, Carola & Kornfilt, Jaklin 	Further investigations into the nature of phrasal compounding	2017	(eds.)	False		Morphological Investigations	1
157	10.5281/zenodo.437098	eng		CC-BY	Klamer, Marian	The Alor-Pantar languages: History and typology. Second edition.	2017		False		Studies in Diversity Linguistics	3
159	10.5281/zenodo.1117686	eng		CC-BY	Bailey, Laura R. & Sheehan, Michelle 	Order and structure in syntax I: Word order and syntactic structure	2017	(eds.)	False		Open Generative Syntax	1
160	10.5281/zenodo.889261	por		CC-BY	Freitas, Maria João & Santos, Ana Lúcia 	A aquisição de língua materna e não materna: Questões gerais e dados do Português	2017	(eds.)	False		Textbooks in Language Sciences	3
163	10.5281/zenodo.1441351	eng		CC-BY	Müller, Stefan	A lexicalist account of argument structure: Template-based phrasal LFG approaches and a lexical HPSG alternative	2018		False		Conceptual Foundations of Language Science	2
165	10.5281/zenodo.1402520	eng		CC-BY	Bonami, Olivier, Boyé, Gilles, Dal, Georgette, Giraudo, Hélène & Namer, Fiammetta 	The lexeme in descriptive and theoretical morphology	2018	(eds.)	False		Empirically Oriented Theoretical Morphology and Syntax	4
166	10.5281/zenodo.2589996	eng		CC-BY	Delgado, Sally	Ship English: Sailors’ speech in the early colonial Caribbean	2018		False		Studies in Caribbean Languages	4
167	10.5281/zenodo.892102	eng		CC-BY	Stenzel, Kristine & Franchetto, Bruna 	On this and other worlds: Voices from Amazonia	2017	(eds.)	False		Studies in Diversity Linguistics	17
173	10.5281/zenodo.1219168	eng		CC-BY	Seržant, Ilja A. & Witzlack-Makarevich, Alena 	Diachrony of differential argument marking	2018	(eds.)	False		Studies in Diversity Linguistics	19
174	10.5281/zenodo.1344467	eng		CC-BY	Hölzl, Andreas	A typology of questions in Northeast Asia and beyond: An ecological perspective	2017		False		Studies in Diversity Linguistics	20
175	10.5281/zenodo.1244028	eng		CC-BY	Müller, Sonja	Distribution und Interpretation von Modalpartikel-Kombinationen	2017		False		Topics at the Grammar-Discourse Interface	2
176	10.5281/zenodo.1296780	eng		CC-BY	Moran, Steven & Cysouw, Michael	The Unicode cookbook for linguists: Managing writing systems using orthography profiles	2018		False		Translation and Multilingual Natural Language Processing	10
177	10.5281/zenodo.3950146	cmn		CC-BY	Müller, Stefan	语法理论: 从转换语法到基于约束的理论	2020		False		Textbooks in Language Sciences	8
178	10.5281/zenodo.4291753	eng		CC-BY	Nakagawa, Natsuko	Information structure in spoken Japanese: Particles, word order, and intonation	2017		False		Topics at the Grammar-Discourse Interface	8
179	10.5281/zenodo.2625403	eng		CC-BY	Sherriah, André	A tale of two dialect regions: Sranan's 17th-century English input	2018		False		Studies in Caribbean Languages	3
180	10.5281/zenodo.1300630	eng		CC-BY	Pérez Vidal, Carmen, López-Serrano, Sonia, Ament, Jennifer & Thomas-Wilhelm, Dakota J. 	Learning context effects: Study abroad, formal instruction and international immersion classrooms	2017	(eds.)	False		EuroSLA Studies	1
